代码,原文评级,评级变动,机构,一个月内调研数,研报前后涨跌幅,研报当天比上一日涨跌幅,研报后一天涨跌幅
600029,增持,维持,东方财富证券,5,-0.00952381,-0.007936508,-0.0016
603659,增持,维持,东兴证券,13,-0.030588235,-0.016,-0.014825442
002756,增持,维持,中泰证券,5,0.018843683,-0.022698073,0.042506573
002777,买入,维持,天风证券,6,0.0875,0.058035714,0.027848101
600282,增持,维持,华泰证券,4,0.003039514,-0.012158055,0.015384615
600882,买入,维持,华西证券,9,0.069085089,0.050946919,0.017258883
002895,买入,首次,国盛证券,1,0.065627564,0.041837572,0.022834646
603277,买入,首次,国信证券,1,-0.035846724,-0.021631644,-0.014529375
002389,买入,维持,天风证券,2,0.099679927,0.061728395,0.035745047
300413,买入,维持,国信证券,24,0.021826536,0.009908099,0.011801507
002405,增持,维持,东方财富证券,4,0.009956441,-0.014312383,0.024621212
300677,买入,首次,开源证券,2,0.088777536,0.025243453,0.061969753
000039,买入,维持,广发证券,4,-0.019607843,-0.034482759,0.015406162
688021,增持,首次,天风证券,7,0.016493056,-0.003819444,0.02039038
300737,买入,首次,中银证券,8,-0.032313658,-0.039207238,0.007174888
002832,买入,维持,浙商证券,1,0.026837806,0.013418903,0.01324122
601208,买入,首次,东吴证券,2,0.045576408,0.067917784,-0.020920502
000596,买入,维持,华泰证券,28,-0.034113535,-0.033759568,-0.000366334
000063,买入,维持,中国银河,8,0.022535211,0.006478873,0.015952981
600989,买入,首次,东方证券,11,0.015371477,0.033304868,-0.017355372
603319,买入,首次,申港证券,1,-0.001817356,-0.017492049,0.015953757
300308,买入,维持,中国银河,15,-0.018206735,-0.01174628,-0.006537242
601899,增持,维持,财信证券,5,0.020706456,0.025578563,-0.004750594
600438,买入,维持,民生证券,18,0.057327001,0.005088195,0.05197435
300144,买入,维持,广发证券,13,0.010604454,0.001060445,0.009533898
000661,买入,维持,西南证券,19,0.014707559,-0.0103751,0.025345622
002727,买入,维持,西南证券,10,0.027212754,0.017042331,0.01
600882,增持,维持,安信证券,9,0.156103286,0.100058685,0.050946919
000596,买入,维持,天风证券,28,-0.034113535,-0.033759568,-0.000366334
603700,买入,维持,国信证券,8,0.012867647,0.009558824,0.003277495
300258,增持,维持,国联证券,1,0.05466593,-0.01987852,0.076056338
603606,买入,维持,东兴证券,3,0.042198234,0.00343474,0.038630807
603919,增持,首次,华泰证券,6,-0.111021234,-0.099696663,-0.012578616
000860,增持,-,华泰证券,5,0.011989979,-0.006442377,0.018551873
600779,增持,首次,华泰证券,6,-0.029365079,-0.033068783,0.003830369
601966,买入,维持,西部证券,2,0.003380455,-0.018746159,0.022549327
603995,买入,维持,华泰证券,2,0.047120419,0.078184991,-0.028811913
000895,买入,维持,华泰证券,8,0.017292199,0.02082924,-0.00346487
600919,买入,维持,广发证券,6,0.011608624,0.011608624,0
605336,增持,首次,西南证券,1,0.06656,0.0272,0.038317757
300523,买入,维持,民生证券,1,-0.046,-0.043,-0.003134796
300682,买入,首次,开源证券,3,0.01671123,0.019385027,-0.002622951
300685,增持,维持,国联证券,3,0.00214511,0.005678233,-0.003513174
300760,增持,维持,中银证券,15,0.013321152,-0.01329168,0.026971326
600028,买入,维持,光大证券,4,0,-0.002427184,0.00243309
688029,买入,维持,光大证券,11,-0.008979034,-0.010346399,0.001381661
603738,买入,首次,天风证券,1,0.143073048,0.03929471,0.099854581
002163,买入,首次,天风证券,2,-0.014492754,-0.011220196,-0.003309693
600438,买入,维持,东吴证券,18,0.057327001,0.005088195,0.05197435
002493,买入,首次,国金证券,10,-0.009591326,-0.001251043,-0.008350731
600985,买入,维持,国盛证券,1,-0.010647737,-0.01242236,0.001796945
002372,增持,首次,国金证券,12,0.022533801,0.014521783,0.007897335
600438,买入,维持,国金证券,18,0.057327001,0.005088195,0.05197435
603995,买入,维持,中泰证券,2,0.047120419,0.078184991,-0.028811913
600438,买入,维持,广发证券,18,0.057327001,0.005088195,0.05197435
300253,买入,维持,广发证券,13,0.004810583,0.004810583,0
000725,增持,维持,东方财富证券,13,0.022770398,0.032258065,-0.009191176
300251,增持,维持,东方财富证券,15,-0.008278146,-0.007450331,-0.000834028
600984,买入,首次,国海证券,10,-0.010016694,-0.011686144,0.001689189
601233,买入,首次,国海证券,16,0.087693798,0.010174419,0.076738609
600988,买入,维持,信达证券,2,-0.041407867,-0.032091097,-0.009625668
603658,增持,维持,国金证券,13,-0.047974613,-0.015369299,-0.033114257
603535,买入,维持,天风证券,2,-0.056647399,-0.04300578,-0.014254651
002982,买入,维持,财信证券,7,-0.012898551,-0.023913043,0.011284336
000488,买入,维持,东北证券,2,0.016638935,0.001663894,0.014950166
300413,买入,维持,东北证券,24,-0.007977208,-0.00982906,0.001870234
603686,买入,首次,天风证券,5,0.038819027,0.023510115,0.014957265
600258,买入,维持,安信证券,10,0.121363636,0.057727273,0.0601633
000625,增持,维持,上海证券,16,0.189030884,0.080937167,0.1
300866,增持,维持,西部证券,12,0.026261776,0.011630967,0.014462595
300413,买入,维持,西部证券,24,-0.007977208,-0.00982906,0.001870234
002938,买入,维持,国盛证券,7,-0.018080668,0.004172462,-0.022160665
601233,买入,维持,东方证券,16,0.087693798,0.010174419,0.076738609
001979,增持,维持,西南证券,2,0.031593407,0.029532967,0.002001334
300020,买入,维持,财通证券,1,-0.021526419,-0.02446184,0.003009027
000596,买入,维持,东吴证券,28,-0.058585162,-0.025692978,-0.033759568
600305,增持,首次,开源证券,17,-0.013711584,-0.017021277,0.003367003
600988,买入,维持,安信证券,2,-0.041407867,-0.032091097,-0.009625668
600009,增持,维持,华泰证券,8,0.034729316,0.002170582,0.032488215
300866,买入,维持,安信证券,12,0.026261776,0.011630967,0.014462595
603260,买入,维持,东北证券,4,0.037559869,-0.011847744,0.05
600167,买入,维持,广发证券,4,0.020164302,0.02240478,-0.002191381
603551,增持,首次,财信证券,2,0.016981132,-0.006289308,0.023417722
688029,买入,维持,东吴证券,11,-0.018088907,-0.007823452,-0.010346399
003816,增持,首次,东兴证券,1,0.010989011,0.003663004,0.00729927
603348,买入,维持,安信证券,5,-0.054694622,-0.008508052,-0.046582899
300413,买入,维持,开源证券,24,-0.007977208,-0.00982906,0.001870234
603528,买入,首次,浙商证券,3,-0.065757819,-0.037690457,-0.029166667
000969,增持,首次,太平洋,3,0.002824859,-0.016949153,0.020114943
600499,增持,维持,东北证券,3,-0.004210526,0.006315789,-0.010460251
000596,增持,-,东方财富证券,28,-0.058585162,-0.025692978,-0.033759568
002352,增持,首次,东方财富证券,14,-0.02575,-0.019375,-0.006500956
603533,增持,首次,东方财富证券,7,-0.018250235,-0.00696143,-0.011367942
600584,增持,维持,东方财富证券,10,0.024252413,0.038144573,-0.013381719
002603,增持,首次,东方财富证券,4,-0.015848473,-0.007730963,-0.008180756
600258,买入,-,国信证券,10,0.121363636,0.057727273,0.0601633
002415,买入,维持,华泰证券,9,-0.048755187,-0.030290456,-0.019041506
300308,增持,维持,华西证券,15,-0.028296439,-0.016746872,-0.01174628
600810,买入,维持,太平洋,1,0.066666667,-0.030046948,0.099709584
300896,增持,维持,安信证券,20,-0.120939908,-0.03559322,-0.088496565
688339,买入,首次,安信证券,2,0.012355934,0.00976015,0.002570694
002335,买入,维持,天风证券,8,0.003028992,-0.006057984,0.00914236
300144,增持,维持,东吴证券,13,0.031693989,0.030601093,0.001060445
603707,买入,维持,中泰证券,12,-0.019711903,-0.005054334,-0.014732029
002156,买入,首次,华泰证券,8,-0.001202887,0.01042502,-0.011507937
688981,增持,维持,万联证券,8,-0.006959055,-0.01391811,0.007057279
300671,买入,首次,中泰证券,2,-0.032528243,-0.03837164,0.006076565
002404,买入,维持,国海证券,1,-0.084291188,-0.042145594,-0.044
002410,买入,维持,东方财富证券,12,-0.034147735,0.000142878,-0.034285714
603605,增持,维持,东吴证券,23,-0.058027728,-0.007155635,-0.051238739
603103,增持,首次,信达证券,4,0.02359882,0.018879056,0.00463231
000596,买入,维持,华创证券,28,-0.010247427,0.015852857,-0.025692978
002292,增持,维持,新时代证券,2,0.029972752,-0.008174387,0.038461538
601155,买入,维持,西南证券,10,0.015151515,-0.003496503,0.01871345
300762,买入,调高,东北证券,3,0.026708918,0.04617474,-0.018606664
002803,买入,维持,东北证券,9,0.020610278,0.070663812,-0.04675
603856,买入,维持,东北证券,4,0.025604552,-0.003556188,0.029264811
300896,买入,维持,东北证券,20,0.104074793,0.14482272,-0.03559322
002507,买入,维持,华创证券,6,-0.013460016,0.005806281,-0.019155077
000885,买入,维持,华创证券,3,0.01464255,0.013781223,0.000849618
688100,增持,首次,财信证券,1,-0.011474857,-0.020924738,0.009651844
600048,买入,维持,东方证券,18,0.049429658,0.013307985,0.03564728
600690,买入,维持,华泰证券,10,0.024647887,0.011619718,0.012878524
300308,买入,维持,东吴证券,15,0.003930818,0.021029874,-0.016746872
300034,买入,维持,东方证券,2,0.019150708,0.027893422,-0.008505468
300323,买入,维持,民生证券,1,0.050929669,0.007275667,0.043338684
688981,增持,维持,国联证券,8,-0.024495677,-0.010726865,-0.01391811
002335,买入,首次,开源证券,8,0.079924777,0.086506817,-0.006057984
605358,买入,首次,开源证券,3,0.060196906,0.001547117,0.058559191
000596,买入,维持,国海证券,28,-0.010247427,0.015852857,-0.025692978
002507,买入,维持,安信证券,6,-0.013460016,0.005806281,-0.019155077
000333,买入,维持,财通证券,15,-0.006628369,-0.012814848,0.006266786
601298,买入,调高,浙商证券,2,0.045676998,0.014681892,0.030546624
600872,买入,维持,民生证券,17,-0.007051282,-0.006410256,-0.000645161
300896,买入,维持,东吴证券,20,0.104074793,0.14482272,-0.03559322
000651,买入,维持,财通证券,12,0.032297012,0.008149713,0.023952096
300037,增持,维持,平安证券,12,-0.084279132,-0.029890999,-0.056063941
603377,增持,维持,华西证券,4,0,0,0
000625,买入,维持,太平洋,16,0.189220855,0.100175747,0.080937167
603630,买入,维持,太平洋,2,0.005244755,0.036713287,-0.030354132
002483,增持,维持,国海证券,3,0.021772939,0.01244168,0.00921659
000625,买入,维持,国信证券,16,0.189220855,0.100175747,0.080937167
300758,买入,维持,光大证券,1,0,0.040867093,-0.039262547
603043,买入,维持,中银证券,15,-0.020222971,-0.011667099,-0.008656873
603983,买入,维持,国元证券,16,-0.021650659,0.006674263,-0.028137128
000582,买入,维持,华西证券,3,0.132798574,0.048128342,0.080782313
002522,增持,首次,国海证券,2,0.064992614,0.069423929,-0.004143646
000596,买入,维持,国盛证券,28,-0.010247427,0.015852857,-0.025692978
600690,买入,维持,安信证券,10,0.024647887,0.011619718,0.012878524
601021,买入,维持,东方财富证券,7,0.071049841,0.048568399,0.021440129
002460,买入,调高,万联证券,4,0.042291582,0.059586542,-0.016322367
002960,买入,维持,浙商证券,7,0.005945946,0.013513514,-0.007466667
605009,买入,维持,安信证券,9,0.062990254,0.036665082,0.025394096
002568,增持,首次,东方证券,1,0.016610851,0.010582719,0.005965005
300896,增持,维持,浙商证券,20,0.104074793,0.14482272,-0.03559322
002352,买入,维持,安信证券,14,-0.029444513,-0.010268465,-0.019375
688179,增持,首次,浙商证券,2,0.160331721,-0.003109883,0.163951473
000155,增持,维持,西南证券,1,0.175548589,0.10031348,0.068376068
300896,增持,维持,国金证券,20,0.104074793,0.14482272,-0.03559322
002803,买入,维持,华西证券,9,0.020610278,0.070663812,-0.04675
300571,买入,首次,华泰证券,1,-0.016984163,-0.01285288,-0.004185073
000625,买入,维持,华西证券,16,0.189220855,0.100175747,0.080937167
300369,买入,维持,开源证券,9,0.005411906,0.0288635,-0.022793688
300236,买入,首次,光大证券,1,0.019479337,-0.024212634,0.044776119
300999,增持,首次,光大证券,5,0.148194078,0.118586266,0.026468958
601138,买入,维持,天风证券,2,-0.014634146,-0.004878049,-0.009803922
600409,买入,首次,国盛证券,9,0.05748503,0.056287425,0.001133787
688981,买入,维持,民生证券,8,-0.024495677,-0.010726865,-0.01391811
002614,买入,维持,安信证券,3,0.032786885,0.034836066,-0.001980198
603063,买入,维持,太平洋,2,-0.050489827,0.03014318,-0.078273592
002756,买入,调高,财通证券,5,0.039651416,0.017429194,0.021841542
601818,买入,维持,天风证券,4,0.0125,0.0025,0.009975062
603708,买入,维持,华泰证券,8,-0.062982998,-0.015842349,-0.04789949
688179,买入,首次,安信证券,2,0.160331721,-0.003109883,0.163951473
000596,买入,维持,中泰证券,28,-0.010247427,0.015852857,-0.025692978
002960,买入,维持,东吴证券,7,0.005945946,0.013513514,-0.007466667
300767,买入,维持,东吴证券,4,-0.039408867,-0.014923211,-0.024856597
300724,买入,首次,国海证券,20,-0.144627731,-0.046812305,-0.10261927
300058,增持,首次,东方财富证券,1,-0.017069701,-0.001422475,-0.015669516
600779,增持,维持,东方财富证券,6,-0.009044436,0.03001704,-0.037923136
300751,买入,维持,国海证券,12,-0.009587328,,
300122,买入,维持,天风证券,3,0.02319236,,
600919,买入,维持,天风证券,6,0.005016722,,
002507,买入,维持,中泰证券,6,0.005806281,,
300772,增持,维持,天风证券,3,-0.016643551,,
600779,买入,维持,国海证券,6,0.03001704,,
300450,买入,首次,国海证券,21,-0.005847953,,
603681,买入,首次,广发证券,1,0.054025974,,
300482,买入,首次,广发证券,6,0.002467344,,
688368,买入,首次,信达证券,7,0.059683011,,
603197,买入,维持,东北证券,2,0.068204614,,
600987,买入,维持,广发证券,2,-0.001769912,,
002869,买入,首次,开源证券,1,0.007035176,,
603298,买入,首次,国海证券,1,0.019072165,,
601100,买入,首次,国海证券,18,-0.048104009,,
688981,买入,维持,国海证券,8,-0.010726865,,
002960,买入,维持,开源证券,7,0.013513514,,
688011,买入,首次,东方证券,1,0.002347418,0.027102006,-0.024101392
688288,买入,首次,西部证券,7,0.049747657,0.024993992,0.024150059
000636,增持,维持,国联证券,11,0.020574788,0.029392554,-0.00856599
300724,增持,维持,上海证券,20,-0.012717805,0.123072301,-0.120909496
603601,买入,维持,安信证券,2,-0.024691358,-0.002057613,-0.022680412
000498,买入,维持,中国银河,1,0.009727626,-0.003891051,0.013671875
600502,买入,维持,中国银河,3,0.009950249,-0.002487562,0.012468828
688981,买入,维持,广发证券,8,-0.008082768,0.009699321,-0.017611271
600629,买入,维持,中国银河,1,-0.001234568,-0.002469136,0.001237624
600039,买入,维持,中国银河,2,-0.003853565,-0.001926782,-0.001930502
688339,买入,首次,光大证券,2,0.003934234,0.05607751,-0.049374479
605009,增持,首次,平安证券,9,0.012250161,-0.013656878,0.026265748
688029,增持,首次,国联证券,11,-0.017448448,0.055109903,-0.068768524
603983,买入,维持,光大证券,16,-0.000488998,0.001303993,-0.001790656
000876,买入,维持,东北证券,6,0.014013235,0.006228104,0.007736944
603983,增持,维持,东吴证券,16,-0.000488998,0.001303993,-0.001790656
603113,买入,-,安信证券,4,0.030688623,0.01497006,0.015486726
688981,买入,维持,新时代证券,8,-0.008082768,0.009699321,-0.017611271
600521,买入,首次,浙商证券,4,-0.014794686,-0.01147343,-0.003359805
002946,增持,首次,国盛证券,5,-0.009465215,-0.014197823,0.004800768
603983,买入,维持,中泰证券,16,-0.000488998,0.001303993,-0.001790656
002508,增持,维持,财通证券,16,0.019230769,0.00347544,0.015700762
002705,增持,维持,财通证券,13,-0.016519824,0.00660793,-0.02297593
603369,买入,首次,国海证券,15,-0.050440917,-0.099823633,0.054858934
300383,增持,维持,东方财富证券,13,0.010741688,0.013299233,-0.002523978
300133,增持,首次,东方财富证券,4,-0.002743484,0.008230453,-0.010884354
300017,增持,首次,东方财富证券,1,-0.001278772,0.007672634,-0.008883249
603096,增持,维持,东方财富证券,4,-0.012325953,0.02693449,-0.038230718
603589,增持,维持,东方财富证券,12,-0.065857143,-0.1,0.037936508
603369,增持,首次,东方财富证券,15,-0.050440917,-0.099823633,0.054858934
002605,增持,首次,东方财富证券,4,0.005112474,0.003749148,0.001358234
603195,增持,维持,财通证券,18,0.016514514,0.015488768,0.001010101
600305,增持,维持,上海证券,17,-0.023052098,0.008298755,-0.031092821
688981,买入,维持,开源证券,8,0.017926988,0.008148631,0.009699321
300383,买入,维持,华创证券,13,0.002530364,-0.01062753,0.013299233
002801,买入,首次,西南证券,1,0.001529052,-0.012538226,0.014245897
000636,买入,维持,天风证券,11,0.00864,-0.02016,0.029392554
600323,买入,维持,东兴证券,11,-0.004011231,-0.001203369,-0.002811245
601233,买入,维持,信达证券,16,0.058093627,0.037789058,0.019565217
000598,增持,维持,中原证券,2,-0.003898635,-0.001949318,-0.001953125
000725,买入,维持,中银证券,13,0.036750484,0.03868472,-0.001862197
600383,买入,维持,东方证券,14,-0.032729805,-0.005571031,-0.027310924
000681,买入,维持,新时代证券,6,-0.014723926,0.006748466,-0.021328458
300450,买入,维持,中银证券,21,0.015891876,0.033417496,-0.016958896
300188,买入,维持,中银证券,8,0.045260461,0.067890692,-0.021191523
600984,买入,维持,浙商证券,10,-0.011627907,-0.011627907,0
688567,增持,首次,东兴证券,4,-0.002574003,-0.008365508,0.005840363
002129,买入,维持,财通证券,8,-0.022033898,-0.019491525,-0.002592913
600000,增持,维持,中银证券,4,-0.020920502,-0.013598326,-0.007423118
002202,增持,维持,财通证券,13,-0.027340514,-0.024026512,-0.003395586
300015,增持,首次,国联证券,14,0.011458792,0.024092846,-0.012336824
002812,买入,维持,财通证券,11,0.029807692,0.019230769,0.010377358
